word,pos,hindi
Attain,verb,प्राप्त करना
In the event of,phrase,की स्थिति में
Rattle sabre,phrase,युद्ध की धमकी देना
Rechristen,verb,नया नाम देना
Keen,adjective,उत्सुक
Bedrock,noun,मूल आधार
Tall claim,phrase,बढ़ा-चढ़ा कर किया दावा
Take effect,phrase,लागू होना
Ill-disguised,adjective,अस्पष्ट रूप से छिपा हुआ
Proxy,noun,प्रतिनिधि
Steer clear of,phrase,से दूर रहना
Undertake,verb,करने का बीड़ा उठाना
Back,verb,समर्थन करना
Scale,noun,"स्तर, पैमाना"
Disruption,noun,व्यवधान
Manifestation,noun,अभिव्यक्ति
Tinderbox,noun,विस्फोटक स्थिति
Escalating,adjective,बढ़ता हुआ
Displace,verb,विस्थापित करना
Endanger,verb,खतरे में डालना
Attribute (to),verb,श्रेय देना
Severity,noun,गंभीरता
Grapple (with),verb,जूझना
Harsh,adjective,कठोर
Prolonged,adjective,लंबा खिंचा हुआ
Precipitation,noun,वर्षा
Conducive (to),adjective,सहायक
Adapt (to),verb,ढालना
Mounting,adjective,बढ़ता हुआ
Downplay,verb,कम करके आंकना
Roll back,phrasal verb,वापस लेना
Wakeup call,phrase,चेतावनी संकेत
Play havoc,phrase,तबाही मचाना
Economic gain,noun,आर्थिक लाभ
Back home,phrase,स्वदेश में
Immune (to),adjective,प्रतिरक्षित
Induce,verb,उत्पन्न करना
Ignition,noun,प्रज्वलन
Flammable,adjective,ज्वलनशील
Underbrush,noun,झाड़ियां
Greenhouse gas emission,noun,ग्रीनहाउस गैस उत्सर्जन
Afforestation,noun,वनरोपण
Hold accountable for,phrase,जिम्मेदार ठहराना
Guardrail,noun,सुरक्षा उपाय
Strike the right balance,phrase,सही संतुलन बनाना
Comply (with),verb,अनुपालन करना
Post-facto,adjective,घटना के बाद
Go out of its way,phrase,अतिरिक्त प्रयास करना
Strike down,phrasal verb,रद्द करना
Admonish,verb,फटकारना
Dilute,verb,पतला/कमजोर करना
Hold,verb,"मानना, निर्णय देना"
Jurisprudence,noun,न्यायशास्त्र
Anathema,noun,घृणित वस्तु
Laxity,noun,ढिलाई
Precipitate,verb,जल्दबाजी में करा देना
Quarry,noun,खदान
Draw attention,phrase,ध्यान आकर्षित करना
Diligence,noun,परिश्रम
Binary,noun,द्विआधारी
Pay short shrift,phrase,जल्दबाजी में निपटाना
Zero-sum game,noun,शून्य-योग खेल
Eagerly,adverb,उत्सुकता से
Outing,noun,बाहरी यात्रा
White,noun,"गोरा, सफेद"
Veteran,noun,अनुभवी
Chagrin,noun,निराशा
Legion,noun,बड़ी संख्या
Exaggeration,noun,अतिशयोक्ति
Magnet,noun,आकर्षण केंद्र
Onslaught,noun,प्रचंड आक्रमण
Inherit,verb,विरासत में पाना
Bloom,verb,फलना-फूलना
Classicism,noun,परंपरावाद
Bestow (on),verb,प्रदान करना
Orthodox,noun,रूढ़िवादी
Slam-bang,noun,"जोरदार, धमाकेदार"
Immensely,adverb,अत्यधिक
Expansive,adjective,विस्तृत
Draw,verb,आकर्षित करना
Horde,noun,भीड़
Brood (on),verb,गहराई से सोचना
Cushion,noun,सुरक्षा कवच
Lure,verb,लुभाना
Stand at a pedestal,phrase,ऊंचे स्थान पर रखना
The Delhi batsman,noun,दिल्ली का बल्लेबाज़
Hardly,adverb,मुश्किल से
Fall back upon,phrase,सहारा लेना
Daunting,adjective,कठिन/डरावना
Find one’s footing,phrase,स्थिरता पाना
Arena,noun,क्षेत्र
Reflection (on),noun,विचार-विमर्श
Prudence,noun,विवेक
Painstakingly,adverb,बड़ी मेहनत से
Bring up,phrasal verb,पालन-पोषण करना
Ingrain,verb,गहराई से बैठाना
Psyche,noun,मानस
Reproach,noun,फटकार
Hold on,phrasal verb,"रुको, टिके रहो"
At crossroads,phrase,निर्णायक मोड़ पर
Rapid,adjective,तेज़
Harmonious,adjective,सामंजस्यपूर्ण
Vitriolic,adjective,अत्यंत कटु
Diatribe,noun,कटु आलोचना
Nonplussed,adjective,"चकित, असमंजस में"
Profuse,adjective,अत्यधिक
Expedient,adjective,सुविधाजनक
Murky,adjective,"अस्पष्ट, धुंधला"
Derogatory,adjective,अपमानजनक
Condominium,noun,फ्लैट
At times,phrase,कभी-कभी
Indignant,adjective,क्रोधित
Turn out to be,phrase,साबित होना
Narrate,verb,वर्णन करना
Flair,noun,स्वाभाविक प्रतिभा
Pitch in,phrasal verb,योगदान देना
Timid,adjective,डरपोक
Anguish,noun,पीड़ा
Debate,verb,बहस करना
Unanimous,adjective,सर्वसम्मत
Bully,noun,गुंडा
Anti–dumping duty,noun,डंपिंग-रोधी शुल्क
Imposition,noun,थोपना
Friction,noun,टकराव
Ballooning,adjective,तेज़ी से बढ़ता हुआ
Predatory pricing,noun,प्रतिस्पर्धियों को हटाने वाली कीमत नीति
Allegedly,adverb,कथित रूप से
Unprecedented,adjective,अभूतपूर्व
Provisional,adjective,अस्थायी
Inflate,verb,बढ़ा-चढ़ा कर बताना
Counteract,verb,प्रतिकार करना
Circumvent,verb,बचना
Window,noun,अवसर की अवधि
Widen,verb,बढ़ाना
Self–sufficiency,noun,आत्मनिर्भरता
Gender disparity,noun,लैंगिक असमानता
Token,adjective,प्रतीकात्मक
Sprinkle,noun,थोड़ा-थोड़ा डालना
Barely,adverb,मुश्किल से
Stride,verb,"प्रगति, कदम"
Epochal,adjective,युगांतरकारी
Outnumber,verb,संख्या में अधिक होना
Discipline,noun,अनुशासन/विषय
Apt,adjective,उपयुक्त
Coax,verb,मना लेना
Pathbreaker,noun,अग्रदूत
Baulk (at),verb,विरोध करना
Ring (in),verb,स्वागत करना (नए साल का)
Spectator,noun,दर्शक
Disastrous,adjective,विनाशकारी
Nose ahead,phrase,थोड़ा आगे निकलना
Limitation,noun,सीमा
Perceptual set,noun,धारणा का ढांचा
Lead,to,बढ़त
Cognitive,adjective,बौद्धिक
Apparatus,noun,उपकरण तंत्र
Mute,verb,मौन
Discordant,adjective,बेमेल
Cortex,noun,बाहरी परत
Mediate,verb,मध्यस्थता करना
Neural,adjective,तंत्रिका संबंधी
Transmit,verb,संचारित करना
Infill,noun,भराई
Modality,noun,"प्रणाली, तरीका"
Glean,verb,जानकारी बटोरना
Self-propagating,adjective,स्वयं प्रसारित होने वाला
Paradoxically,adverb,विरोधाभासी रूप से
Lend,verb,प्रदान करना
Credibility,noun,विश्वसनीयता
Fraught,with,समस्याओं से भरा
Peril,noun,खतरा
Undercurrent,noun,छिपा हुआ भाव
Blur,verb,धुंधला होना
Garnish,verb,सजाना
Topping,noun,ऊपर से डाली गई सामग्री
Be the recipe for something,phrase,का कारण बनना
Appraisal,noun,मूल्यांकन
Ironically,adverb,विडंबना यह है कि
Devil's advocate,noun,विरोधी दृष्टिकोण रखने वाला
Dividend,noun,लाभांश
Negate,verb,निरस्त करना
Premise,noun,"आधार, मान्यता"
Of sorts,phrase,एक प्रकार का
Kicking in,noun,प्रभावी होना शुरू होना
Instinctive,adjective,"सहज, स्वाभाविक"
Impulsive,adjective,आवेगी
Suffuse,with,व्याप्त कर देना
Deliberation,noun,विचार-विमर्श
Subservient,to,अधीनस्थ
Self-indulgent,adjective,आत्म-भोगी
Err,verb,गलती करना
In the eye of a storm,phrase,विवाद के केंद्र में
Neighbour,noun,पड़ोसी
Tuber,noun,कंद
At the root of,phrase,मूल कारण
Go back a long way,phrase,लंबे समय से जुड़ा होना
Pop up,phrasal verb,अचानक आ जाना
Precede,verb,पहले होना
Melt-in-the-mouth,phrase,मुंह में घुल जाने वाला
Accompaniment,noun,साथ की चीज़
Fluffy,adjective,"मुलायम, फूला हुआ"
Debt,noun,कर्ज
Credit,verb,श्रेय देना
Fluff up,phrasal verb,फुलाना
Copious,adjective,प्रचुर
Delicacy,noun,स्वादिष्ट व्यंजन
Set off,phrasal verb,शुरू करना
Subtext,noun,अंतर्निहित अर्थ
Belt,noun,"पट्टा, क्षेत्र"
Hardiness,noun,"कठोरता, सहनशीलता"
Famine,noun,अकाल
Hoarding,noun,जमाखोरी
Potato peel,noun,आलू का छिलका
Rice gruel,noun,चावल का पतला दलिया
Subsistence,noun,जीवन-निर्वाह
Spawn,verb,जन्म देना
Root-to-stem economising,noun,पूरी सब्ज़ी का उपयोग कर बचत
Breather,noun,राहत
Cheer,verb,जयकार करना
On the back of,phrase,के बल पर
Ratchet up,phrasal verb,बढ़ाना
Back down,phrasal verb,पीछे हटना
War-footing,noun,युद्ध स्तर पर
Heavy-handed,adjective,कठोरतापूर्वक
Succeed in,phrasal verb,में सफल होना
Come to the table,phrase,बातचीत शुरू करना
Seemingly,adverb,प्रतीत होता है
Uncertainties,noun,अनिश्चितताएं
Lose one’s sheen,phrase,चमक खोना
Two-fold,adjective,दोहरा
Scalable,adjective,विस्तारणीय
Regardless of,phrase,की परवाह किए बिना
Sensible,adjective,समझदार
Indifference,noun,उदासीनता
Indifferent,adjective,उदासीन
Apathy,noun,उदासीनता
Hatred,noun,घृणा
Irksome,adjective,कष्टप्रद
Subsume,verb,शामिल कर लेना
Sorrow,noun,दुख
Powerlessness,noun,असहायता
Commandment,noun,आदेश
Verse,noun,पद्य
Echo,noun,प्रतिध्वनि
Malice,noun,द्वेष
Egotism,noun,आत्ममुग्धता
Equipoise,verb,संतुलन
Distress,noun,पीड़ा
Content,adjective,संतुष्ट
Steadily,adverb,लगातार
Firm,adjective,"दृढ़, कंपनी"
Reckon,verb,अनुमान लगाना
Underestimate,noun,कम आंकना
Malignancy,noun,घातकता
Equip (with),verb,सुसज्जित करना
Vary,verb,भिन्न होना
Oncologist,noun,कैंसर विशेषज्ञ
For starters,phrase,सबसे पहले
Upscale,verb,उच्च स्तरीय
Come forward,phrase,आगे आना
Diagnostic,adjective,निदानात्मक
Policymaker,noun,नीति निर्माता
Expertise,noun,विशेषज्ञता
Taxing,adjective,थकाने वाला
Telehealth,noun,दूरस्थ स्वास्थ्य सेवा
Deficit,noun,घाटा
Anchor,noun,लंगर
In disgust,phrase,घृणा से
Squawk,verb,कर्कश आवाज़ करना
Shade,verb,"छाया, रंगत"
Mutter,verb,बड़बड़ाना
Poke up,phrasal verb,बाहर निकालना
Trail off,phrasal verb,धीरे-धीरे मंद पड़ना
Lay,verb,रखना
Mast,noun,मस्तूल
Pounce,verb,झपट्टा मारना
Deck,noun,जहाज़ का डेक
Shook out,phrasal verb,झाड़ दिया
Stick out,phrasal verb,बाहर निकलना
Squash,verb,कुचलना
Stuff,verb,सामान
Glass case,noun,कांच का बक्सा
Admire,verb,प्रशंसा करना
Drowsy,adjective,नींद से भरा
Lurch,verb,लड़खड़ाना
Bunk,noun,सोने की चारपाई
Bleary-eyed,adjective,थकी आँखों वाला
Lay on one’s side,phrase,करवट लेकर लेटना
Droop,verb,झुक जाना
Prick,verb,चुभन
Float,verb,तैरना
Mighty,adjective,शक्तिशाली
Splash,noun,छींटा
Look down on,phrase,तुच्छ समझना
Swam off,phrasal verb,तैरकर दूर चला गया
Come to the conclusion,noun,निष्कर्ष निकालना
Concentrated (in),adjective,केंद्रित
Finding,noun,निष्कर्ष
Definitive,adjective,निर्णायक
The cutting edge,noun,अत्याधुनिक स्तर
Venture (into),verb,में कदम रखना
Fruitful,adjective,फलदायी
Anecdotal,adjective,किस्सागत
Reverse,verb,उलटना
The brain drain,noun,प्रतिभा पलायन
Hands-off approach,noun,गैर-हस्तक्षेप की नीति
Push (for),noun,जोर देना
Indigenisation,noun,स्वदेशीकरण
Red tape,noun,नौकरशाही की बाधा
Ideal,adjective,आदर्श
(be) Supposed (to),adjective,अपेक्षित होना
Extremism,noun,अतिवाद
Receptive,adjective,ग्रहणशील
Designate,verb,नामित करना
Backing,noun,समर्थन
Chair,verb,अध्यक्षता करना
Flagship,adjective,"प्रमुख, अग्रणी"
Sovereign,adjective,संप्रभु
Resurgence,noun,पुनरुत्थान
Heckle,verb,टोका-टाकी करना
Lodge,verb,दर्ज करना
Lacklustre,adjective,फीका
Allegation,noun,आरोप
Sympathizer,noun,सहानुभूति रखने वाला
Plot,noun,षड्यंत्र
Incline,verb,झुकाव
By and large,phrase,आमतौर पर
Cohesive,adjective,एकजुट
Diaspora,noun,प्रवासी समुदाय
Add fuel to the fire,phrase,स्थिति बिगाड़ना
Slapping,noun,थोप देना
Strike,verb,हड़ताल
Reciprocal tariff,noun,पारस्परिक शुल्क
Supposedly,adverb,माना जाता है कि
Asymmetry,noun,असंतुलन
Explicitly,adverb,स्पष्ट रूप से
Blanket,adjective,व्यापक
Take on,phrasal verb,जिम्मेदारी लेना
Digest,verb,समझना
Be at the receiving end,phrase,परिणाम भुगतना
Apparent,adjective,स्पष्ट
Levy (on),verb,कर लगाना
Facilities,noun,सुविधाएं
Get around,phrasal verb,बचाव का रास्ता निकालना
Worsen,verb,और बिगड़ना
Make up,phrasal verb,पूरा करना
Devaluation,noun,अवमूल्यन
Shut out,phrasal verb,बाहर रखना
Beggar-thy-neighbour measure,noun,पड़ोसी को नुकसान पहुंचाने वाली नीति
The negotiating table,phrase,बातचीत की मेज़
Revert (to),verb,वापस लौटना
Protectionism,noun,संरक्षणवाद
Cess,noun,उपकर
Beacon,noun,मार्गदर्शक
Macroeconomic,adjective,समष्टि आर्थिक
Fondly (at),adverb,स्नेह से
Rush,verb,तेज़ी से जाना
Indulge,verb,लिप्त होना
Moderation,noun,संयम
Nod,verb,स्वीकृति देना
Absentmindedly,adverb,अनमने ढंग से
Tiptoe,verb,पंजों के बल चलना
Bite,verb,काटना
Crisps,noun,चिप्स
Exclaim,verb,चिल्ला कर कहना
Furiously,adverb,गुस्से में
Nutty,adjective,मेवे जैसा स्वाद
Stare,verb,घूरना
Enviously,adverb,ईर्ष्या से
Half-heartedly,adverb,अनमने ढंग से
Famished,adjective,बहुत भूखा
Glance (at),verb,सरसरी निगाह डालना
Longingly,adverb,तड़प के साथ
Yacht-shaped,adjective,नौका के आकार का
Affectionately,adverb,स्नेहपूर्वक
Shriek,verb,चीखना
Coming of age,phrase,परिपक्व होना
Spectacle,noun,"तमाशा, दृश्य"
Debut,verb,पदार्पण करना
Juggernaut,noun,अजेय शक्ति
Clout,noun,प्रभाव
Sheer,adjective,"पूर्ण, केवल"
Ardent,adjective,उत्साही
Defending champion,noun,मौजूदा विजेता
Amplify,verb,बढ़ाना
Culminate,verb,समाप्त होना
Criss-cross,verb,बार-बार आना-जाना
Supremacy,noun,वर्चस्व
Elsewhere,adverb,कहीं और
Freelance player,noun,स्वतंत्र खिलाड़ी
Surrogate advertising,noun,छद्म विज्ञापन
Gateway,noun,प्रवेश द्वार
Escalator,noun,एस्केलेटर
Launch pad,noun,प्रक्षेपण मंच
Once-daunting,adjective,जो पहले कठिन लगता था
Diminish,verb,कम होना
Longevity,noun,दीर्घायु
Hallmark,noun,विशिष्ट पहचान
Inception,noun,आरंभ
Go awry,phrase,गड़बड़ हो जाना
Enigmatic,adjective,रहस्यमय
Lethal,adjective,घातक
Eager,adjective,उत्सुक
Full-fledged,adjective,पूर्ण रूप से विकसित
Federalism,noun,संघवाद
Dialogue,noun,संवाद
Aggregate,verb,एकत्र करना
Dropout,noun,स्कूल छोड़ने वाला
Literacy,noun,साक्षरता
Devolution,noun,अधिकार हस्तांतरण
Long-standing,adjective,पुराना
Flashpoint,noun,विवाद का मुख्य बिंदु
Comparative,adjective,तुलनात्मक
Lens,noun,दृष्टिकोण
Disparity,noun,असमानता
Contentious,adjective,विवादास्पद
Delimitation,noun,सीमांकन
Federal structure,noun,संघीय ढांचा
Equitably,adverb,न्यायसंगत ढंग से
Narrow,verb,संकीर्ण
Polarised,adjective,ध्रुवीकृत
Breed,verb,उत्पन्न करना
Discontent,noun,असंतोष
Parochial,adjective,संकुचित सोच वाला
Root (in),verb,आधारित होना
Panacea,noun,रामबाण उपाय
Landmark,adjective,"ऐतिहासिक, महत्वपूर्ण"
Affirm,verb,पुष्टि करना
Intrinsic,adjective,अंतर्निहित
Club,verb,एक साथ शामिल करना
Far-sighted,adjective,दूरदर्शी
Entail,verb,आवश्यक करना
Enabler,noun,सहायक
Exercise,verb,प्रयोग करना
The Starkest,noun,सबसे स्पष्ट
Boast,verb,डींग मारना
Swathe,noun,विस्तृत क्षेत्र
Non-existent,adjective,अस्तित्वहीन
Digital divide,noun,डिजिटल विभाजन
Marginalisation,noun,हाशिए पर धकेलना
Scale up,phrasal verb,विस्तार करना
Bottleneck,noun,बाधा
Hollow,adjective,खोखला
Grassroots,noun,जमीनी स्तर
Advance,verb,आगे बढ़ाना
Conferment,noun,प्रदानगी
Ascension,noun,उन्नयन
Give room to,phrase,गुंजाइश देना
Apprehension,noun,आशंका
Reiterate,verb,दोहराना
Permit,verb,अनुमति देना
Rationale,noun,औचित्य
Arrangement,noun,व्यवस्था
Dispel,verb,दूर करना
Vexatious,adjective,परेशान करने वाला
Meaning,noun,अर्थ
In pursuit of,phrase,की खोज में
Legitimate,adjective,वैध
Provincial,adjective,प्रांतीय
War-torn,adjective,युद्धग्रस्त
Play the role of,phrase,की भूमिका निभाना
Dispassionate,adjective,निष्पक्ष
Public distribution system (PDS),noun,सार्वजनिक वितरण प्रणाली
Admission,noun,स्वीकृति
Beneficiary,noun,लाभार्थी
Argument,noun,तर्क
Census,noun,जनगणना
Ring hollow,phrase,खोखला लगना
In the face of,phrase,के बावजूद
Staple grain,noun,मुख्य अनाज
Inadequacy,noun,अपर्याप्तता
Estimate,noun,अनुमान लगाना
Bureaucratic,adjective,नौकरशाही संबंधी
Inertia,noun,जड़ता
Seashore,noun,समुद्र तट
Tempt (to),verb,लुभाना
Sigh,noun,आह भरना
Annoyance,noun,झुंझलाहट
Nuisance,noun,उपद्रव
Scold,verb,डांटना
Anxiously,adverb,चिंतापूर्वक
Ashamed (of),adjective,शर्मिंदा
Fall ill,phrase,बीमार पड़ना
Writhe,verb,छटपटाना
Approach,verb,निकट आना
Tug,verb,खींचना
Summon up,phrasal verb,साहस जुटाना
Shake one’s head,phrase,सिर हिलाना (इनकार में)
By no means,phrase,कतई नहीं
Raw,adjective,"कच्चा, अपरिष्कृत"
Take something by storm,phrase,तेज़ी से लोकप्रिय होना
Heterogeneous,adjective,विविधतापूर्ण
Populous,adjective,घनी आबादी वाला
Sprawling,adjective,फैला हुआ
Employ,verb,नियुक्त करना
Paradigm,noun,प्रतिमान
Conversely,adverb,इसके विपरीत
Position,verb,"स्थिति, पद"
Ingrained,adjective,गहराई से बैठा हुआ
Feasibility,noun,व्यवहार्यता
Commute,noun,यात्रा करना
Congestion,noun,भीड़भाड़
Leisure,noun,फुर्सत
Burnout,noun,थकावट
Absenteeism,noun,अनुपस्थिति
Viable,adjective,व्यवहार्य
Distant,adjective,दूर
Lay the groundwork,phrase,आधार तैयार करना
Pilot program,noun,प्रायोगिक योजना
Scepticism,noun,संदेह
Rebellious,adjective,विद्रोही
Pass the torch,phrase,जिम्मेदारी सौंपना
Strikingly,adverb,उल्लेखनीय रूप से
Remark,noun,टिप्पणी
Irrefutable,adjective,अकाट्य
Carve out,phrasal verb,गढ़ना
Upward mobility,noun,सामाजिक उन्नति
Bold,adjective,साहसी
Conformity,noun,अनुरूपता
Prestige,noun,प्रतिष्ठा
Hustle,noun,कड़ी मेहनत करना
Adaptability,noun,अनुकूलनशीलता
Dare,verb,साहस करना
Pay attention,phrase,ध्यान देना
Shatter,verb,चकनाचूर करना
Label,verb,लेबल लगाना
Digital bootcamp,noun,डिजिटल प्रशिक्षण शिविर
Confine (to),verb,सीमित रखना
Empathetic,adjective,सहानुभूतिपूर्ण
Upheaval,noun,उथल-पुथल
Thrive (in),verb,फलना-फूलना
Factor in,phrasal verb,गणना में शामिल करना
Trans people,noun,ट्रांस लोग
In the backdrop,phrase,पृष्ठभूमि में
Decimation,noun,विनाश
Polarise,verb,ध्रुवीकृत करना
Unanimously,adverb,सर्वसम्मति से
Rule,verb,फैसला सुनाना
Statutory interpretation,noun,कानूनी व्याख्या
Appellant,noun,अपीलकर्ता
Vindicate,verb,सही साबित करना
Entitle,verb,अधिकार देना
Backlash,noun,प्रतिक्रिया
Make the point,phrase,बात स्पष्ट करना
Unisex,adjective,स्त्री-पुरुष दोनों के लिए
Earmark,verb,आरक्षित करना
Hold true,phrase,सत्य होना
Aquatic,noun,जलीय गतिविधि
Stricture,noun,कठोर आलोचना
Trumpled,adjective,कुचल दिया गया
Safe haven,noun,सुरक्षित ठिकाना
Bullion,noun,सोने की छड़ें
Rally,noun,"उभरना, जुटना"
Stabilise,verb,स्थिर करना
Slacken,verb,धीमा पड़ना
Disinclination,noun,अनिच्छा
Hold on to,phrase,पकड़े रहना
Appreciating,adjective,मूल्य बढ़ता हुआ
Run out of breath,phrase,सांस फूल जाना
Anticipate,verb,पूर्वानुमान लगाना
Downside risk,noun,गिरावट का जोखिम
Unwind,verb,आराम करना
Speculative,adjective,अटकलबाज़ी वाला
Future market,noun,वायदा बाज़ार
Plateauing,noun,स्थिर हो जाना
Overly,adverb,अत्यधिक
De-dollarise,verb,डॉलर निर्भरता घटाना
Genetic sequence,noun,आनुवंशिक अनुक्रम
Instance,noun,उदाहरण
Detection,noun,पहचान
Transmission,noun,संचरण
Spillover,noun,प्रभाव फैलना
Acute encephalitis syndrome (AES),noun,मस्तिष्क ज्वर रोग
Acute respiratory distress syndrome (ARDS),noun,गंभीर श्वसन रोग
Surrogate,noun,स्थानापन्न
Immaterial,adjective,अप्रासंगिक
Cerebrospinal fluid,noun,मस्तिष्कमेरु द्रव
Swab sample,noun,स्वैब नमूना
Strain,noun,वायरस/जीवाणु का प्रकार
Multisystemic,adjective,बहु-तंत्रीय
Endow (with),verb,प्रदान करना
Thorough,adjective,गहन
Compulsion,noun,मजबूरी
Fruit bat,noun,फल चमगादड़
Overemphasise,verb,अत्यधिक जोर देना
Base effect,noun,आधार प्रभाव
Shrinking,adjective,सिकुड़ता हुआ
Simultaneous,adjective,समवर्ती
Hold back on,phrase,रोक कर रखना
Set (to),verb,तैयार
Ambitious,adjective,महत्वाकांक्षी
Free trade agreement (FTA),noun,मुक्त व्यापार समझौता
Outreach,noun,जन-संपर्क
Looming,adjective,मंडराता हुआ
Unsettle,verb,अस्थिर करना
Fiscal year,noun,वित्तीय वर्ष
Plunge,noun,तेज़ी से गिरना
Dampen,verb,कम करना
Invasion,noun,आक्रमण
Neutralise,verb,निष्प्रभावी करना
Trade imbalance,noun,व्यापार असंतुलन
Hold your horses,phrase,धैर्य रखो
Smidgen,noun,बहुत थोड़ा
Take precedence,noun,प्राथमिकता होना
Money market,noun,मुद्रा बाज़ार
Cash reserve ratio (CRR),noun,नकद आरक्षित अनुपात
Quake,noun,भूकंप
Desirable,adjective,वांछनीय
Mildly,adverb,हल्के ढंग से
Liquidity tighten,verb,तरलता कड़ी होना
FX swap,noun,विदेशी मुद्रा अदला-बदली
Crunch,noun,संकट
Heave-ho,noun,जोर लगाकर हटाना
Quantify,verb,मात्रा में मापना
Treasury desk,noun,कोषागार डेस्क
Flipping position,noun,स्थिति उलटना
Liquidity window,noun,तरलता सुविधा
OMO (open market operation),noun,खुला बाज़ार परिचालन
Jolly delay,phrase,मामूली देरी
Rein in,phrasal verb,नियंत्रण में रखना
Going forward,phrase,आगे चलकर
Willows,noun,विलो पेड़
Skewed,adjective,असंतुलित
Elusive,adjective,मायावी
Whereby,adverb,जिससे
Mediocre,adjective,सामान्य स्तर का
Hail,verb,"स्वागत करना, सराहना करना"
Blatant,adjective,स्पष्ट रूप से
Dye,noun,रंगना
Homo sapiens,noun,मानव प्रजाति
Spate,noun,श्रृंखला (घटनाओं की)
De-fatten,verb,मोटाई कम करना
Presumptuous,adjective,अहंकारपूर्ण
Maniac,adjective,उन्मादी व्यक्ति
Byproduct,noun,उपोत्पाद
Fence,noun,बाड़ लगाना
Checks,noun,नियंत्रण
Prowess,noun,पराक्रम
Upstart,noun,नया उभरा व्यक्ति
Spiral,verb,बढ़ते जाना (चक्रीय ढंग से)
Discreetly,adverb,सावधानी से
Syndicate,noun,"संघ, गिरोह"
Prevalent,adjective,प्रचलित
Proxy war,noun,छद्म युद्ध
Worldwide,adjective,विश्वव्यापी
Naxalism,noun,नक्सलवाद
Sensitivity,noun,संवेदनशीलता
De-addiction,noun,नशा मुक्ति
Humanitarian,adjective,मानवीय
Ground,noun,"आधार, ज़मीन"
Coordination,noun,समन्वय
Evil,noun,बुराई
Seizure,noun,जब्ती
Threshold,noun,"सीमा, दहलीज़"
Bid goodbye to,phrase,विदा लेना
Guffawing,noun,ठहाका लगाना
Prowling,noun,घात लगाकर घूमना
Far-flung,adjective,दूरस्थ
Outpost,noun,चौकी
Bristle,verb,उत्तेजित होना
Draw in,phrasal verb,आकर्षित करना
Ride the crest of the wave,phrase,उफान पर होना
Notch,verb,"स्तर, पायदान"
Refined,adjective,परिष्कृत
Splendour,noun,वैभव
Stroke,noun,"स्पर्श, दौरा"
Fusion,noun,मिश्रण
Modernity,noun,आधुनिकता
Thesis,noun,शोध प्रबंध
Infectious,adjective,संक्रामक
Burst forth,phrasal verb,अचानक उभरना
Existential,adjective,अस्तित्व संबंधी
Pang,noun,तीव्र पीड़ा
Forsake,verb,त्याग देना
Rigour,noun,कठोरता
Lucre,noun,धन-लोभ
Gratification,noun,संतुष्टि
Walk the talk,phrase,कथनी को करनी में बदलना
Primacy,noun,प्रधानता
Endorse,verb,समर्थन करना
Implore,verb,गिड़गिड़ाना
Vociferous,adjective,मुखर
Flock (to),verb,झुंड में आना
Emptiness,noun,खालीपन
Heir-apparent,noun,उत्तराधिकारी
Immaculate,adjective,"बेदाग, त्रुटिहीन"
Successor,noun,उत्तराधिकारी
Tribute,noun,श्रद्धांजलि
Unblinking,adjective,अपलक
Forecast,noun,पूर्वानुमान
Monetary policy committee,noun,मौद्रिक नीति समिति
Soften,verb,नरम पड़ना
Deflation,noun,मुद्रा-अपस्फीति
Adverse,adjective,प्रतिकूल
Core inflation,noun,मूल मुद्रास्फीति
Muted,adjective,दबा हुआ
Recreation,noun,मनोरंजन
Amusement,noun,मनोरंजन
Repo rate,noun,रेपो दर
The odds,noun,संभावना
Peg,verb,निर्धारित करना
Dynamic,noun,गतिशील प्रक्रिया
Get away,phrasal verb,बच निकलना
Brutal,adjective,क्रूर
Chokehold,noun,मजबूत नियंत्रण
To the brink of,phrase,की कगार पर
Starvation,noun,भुखमरी
Ally,noun,सहयोगी
Displeasure,noun,नाराज़गी
Rebuke,noun,फटकारना
Operative,noun,"प्रभावी, कार्यरत"
Vacate,verb,खाली करना
Provoke,verb,उकसाना
Pledge,verb,प्रतिज्ञा
Escalation,noun,"वृद्धि, तेज़ी"
Bombardment,noun,बमबारी
Disproportionate,adjective,असंगत
Evict,verb,बेदखल करना
Vow,verb,शपथ लेना
Check,verb,नियंत्रित करना
Speak up,phrasal verb,खुलकर बोलना
Thus far,phrasal verb,अब तक
Preoccupation,noun,"व्यस्तता, चिंता"
Equivalence,noun,समतुल्यता
Incessant,adjective,अविराम
Depredation,noun,विनाश
Barbarism,noun,बर्बरता
The latter,noun,बाद वाला
The former,noun,पहले वाला
Keeping up with the Joneses,phrase,दूसरों की बराबरी करने की होड़
Elegant,adjective,सुरुचिपूर्ण
Mansion,noun,आलीशान इमारत
Outdo,verb,पीछे छोड़ देना
Ornate,adjective,अलंकृत
Extravagant,adjective,अत्यधिक खर्चीला
Estate,noun,संपत्ति
Give rise to,phrase,जन्म देना
Neighbourhood,noun,पड़ोस
Ceiling,noun,ऊपरी सीमा
Cost,verb,लागत
Fortune,noun,"भाग्य, बड़ी धनराशि"
Beam,verb,चमकना
Pricey,adjective,महंगा
Top notch,adjective,उत्कृष्ट
Envious,adjective,ईर्ष्यालु
Ecstatic,adjective,अति प्रसन्न
Short lived,adjective,अल्पकालिक
Fade,verb,धुंधला पड़ना
